150	PS	0
2.34e-05	15.522627737226273	273.4
3.3092597359530426e-05	31.15813150697973	370.0490422421748
4.6800000000000006e-05	52.31923076923077	523.9285067873303
6.618519471906087e-05	84.9010183549229	734.8663433176483
9.360000000000004e-05	141.270786516854	985.2886543535624
0.0001323703894381	246.91997077342847	1412.1912834181876
0.0001872	438.0726600985224	1951.9855595667875
0.0002647407788762	702.2027137203092	2575.4734935236365
0.0003744	1026.4517453798771	3272.77108433735
0.0005294815577524	1474.0747588842155	4106.278809312733
0.0007488	2091.682217343579	5169.355726872248
0.0010589631155049	2951.7272218710264	6589.636473443797
0.0014976	4169.532678047941	8608.330538475873
0.0021179262310099	6026.658702163858	10903.551669386414
0.0029952	8437.259012016024	13168.963623884696
0.0042358524620198	11411.327016443938	15572.61006115042
0.0059904	14633.732283464573	17922.262353641596
0.0084717049240397	18736.677433451623	19867.3217801066
0.0119808	24635.67527675277	22618.051200635047
0.0169434098480795	31106.75779959525	26109.23564481942
0.0239616	35622.430303030305	28511.55012224939
0.0338868196961591	44119.019891408985	29904.857551787514
0.0479232	50564.84307692308	31192.0
0.0677736393923183	57834.47677317036	31835.450223413885
0.0958464	65555.424	34575.5968
0.1355472787846366	71907.56460554186	36783.56239937293
0.1916928	79765.96453608248	37539.30020366599
0.2710945575692733	88723.79111276563	37825.18185750528
0.3833856000000001	95770.62693877552	39102.59891657638
0.5421891151385466	104488.26872716114	40098.45966312482
0.7667712000000002	113135.20759013284	40872.16744186047
1.0843782302770932	120367.24623021844	40051.47744114446
1.5335424000000004	129064.40727272729	40423.63226815643
2.1687564605541865	139070.37979743944	41527.06240718946
3.067084800000001	148427.96666666667	44461.083880883765
4.337512921108373	154453.73788653009	45738.5062811816
6.134169600000002	160223.8438647343	48321.65606201552
8.675025842216746	167669.37104089788	57441.78668046354
12.268339200000003	175063.31266002846	64403.45795555556
17.35005168443349	185906.2269226888	72096.60602226737
24.536678400000007	201398.4736824605	84705.25535700936
34.70010336886698	217946.77921487333	101571.57624123857
49.07335680000001	228579.63773685973	120755.78042042044
69.40020673773397	241509.33806551545	142120.3374120327
98.14671360000004	263969.57803030306	167985.632
138.80041347546793	290000.1851382692	203985.92671424284
196.29342720000005	315743.3256119403	261958.92016551728
277.60082695093587	354130.6747830153	322238.5441187973
392.5868544000001	400553.0537505669	397907.5000595042
555.2016539018717	455650.97688758175	498897.8375840967
785.1737088000002	523986.3035857606	592680.7677730498
1110.4033078037437	587329.2237515382	768932.5770945139
1570.3474176000004	649263.1355234043	937380.9915629268
2220.806615607487	731909.2776375188	1163259.7557441336
3140.694835200001	873843.6568073395	1526576.9517176473
